Ω√¡°,M2,M2_index
2001. 10,764156.1,17.7160288
2001. 11,766706.8,17.77516368
2001. 12,767051.1,17.78314585
2002. 01,772614.7,17.91213115
2002. 02,779654.9,18.07534961
2002. 03,797428.3,18.48740425
2002. 04,806857.1,18.7059995
2002. 05,812805.7,18.84391055
2002. 06,822108.1,19.05957537
2002. 07,827976.7,19.19563171
2002. 08,831521.4,19.27781127
2002. 09,842512,19.53261495
2002. 10,853092.8,19.77791791
2002. 11,868756.6,20.14106404
2002. 12,875405.5,20.29521069
2003. 01,880250.7,20.40754076
2003. 02,883643,20.4861871
2003. 03,892494.8,20.69140531
2003. 04,890351.6,20.64171783
2003. 05,886410.8,20.55035518
2003. 06,886769.4,20.55866888
2003. 07,886242.9,20.54646262
2003. 08,886880.8,20.56125155
2003. 09,891154.2,20.66032513
2003. 10,885171.7,20.52162815
2003. 11,896674.7,20.7883112
2003. 12,901818.6,20.90756626
2004. 01,901048.5,20.88971243
2004. 02,906803.8,21.02314205
2004. 03,916675.5,21.2520054
2004. 04,918329.7,21.29035601
2004. 05,921252,21.35810598
2004. 06,927101.8,21.49372647
2004. 07,931581.5,21.59758286
2004. 08,936302.7,21.70703813
2004. 09,946264.9,21.93799961
2004. 10,946832.6,21.95116104
2004. 11,948780.2,21.99631378
2004. 12,954714,22.13388171
2005. 01,958086.2,22.21206206
2005. 02,965151.9,22.37587171
2005. 03,977425,22.66040859
2005. 04,982103.7,22.76887855
2005. 05,985474.4,22.84702413
2005. 06,995904.3,23.08882866
2005. 07,1004960.2,23.29877868
2005. 08,1008802,23.38784613
2005. 09,1008223.6,23.37443663
2005. 10,1008215.2,23.37424189
2005. 11,1011582.7,23.45231328
2005. 12,1021591.6,23.68435744
2006. 01,1027697.4,23.82591298
2006. 02,1034711.9,23.98853562
2006. 03,1042293.6,24.1643081
2006. 04,1048598.6,24.31048185
2006. 05,1055855.4,24.47872192
2006. 06,1072886.5,24.87356724
2006. 07,1082577.5,25.09824128
2006. 08,1084752.6,25.14866832
2006. 09,1098444.2,25.4660914
2006. 10,1110360.9,25.74236558
2006. 11,1123714.6,26.05195486
2006. 12,1138295.5,26.38999527
2007. 01,1143814.9,26.51795584
2007. 02,1154108.8,26.75660738
2007. 03,1162429.3,26.94950804
